CO_MUNICIP,DS_NOME
250020,AGUIAR
310130,ALAGOA
250050,ALAGOINHA
350075,ALAMBARI
230050,ALCANTARAS
210030,ALDEIAS ALTAS
420070,ALFREDO WAGNER
150050,ALMEIRIM
521680,PETROLINA DE GOIAS
251130,PIANCO
251140,PICUI
315040,PIEDADE DOS GERAIS
270690,PILAR
521690,PILAR DE GOIAS
241000,PILOES
411770,PALMEIRA
270630,PALMEIRA DOS INDIOS
261010,PALMEIRINA
431380,PALMITINHO
353540,PANORAMA
421220,PAPANDUVA
314720,PARAGUACU
431400,PARAI
353560,PARAIBUNA
411800,PARAISO DO NORTE
314730,PARAISOPOLIS
411810,PARANACITY
353590,PARANAPUA
314740,PARAOPEBA
410045,ALTAMIRA DO PARANA
430055,ALTO ALEGRE
110037,ALTO ALEGRE DOS PARECIS
310205,ALTO CAPARAO
313115,IPABA
240470,IPANGUACU
230570,IPAUMIRIM
352110,IPEUNA
352120,IPORANGA
240480,IPUEIRA
313150,IPUIUNA
521030,ISRAELANDIA
250690,ITABAIANA
291465,ITABELA
521040,ITABERAI
313190,ITABIRITO
171050,ITACAJA
410920,GUARACI
410940,GUARAPUAVA
351820,GUARARAPES
410960,GUARATUBA
420660,GUARUJA DO SUL
351885,GUATAPARA
210490,GUIMARAES
312910,GURINHATA
150310,GURUPA
430955,HARMONIA
351900,HERCULANDIA
230520,HIDROLANDIA
230523,HORIZONTE
210220,BURITI
220200,BURITI DOS LOPES
310930,BURITIS
310940,BURITIZEIRO
350570,BARUERI
270070,BATALHA
230210,BATURITE
350610,BEBEDOURO
210193,BERNARDO DO MEARIM
310660,BERTOPOLIS
310670,BETIM
310690,BICAS
350660,BIRITIBA-MIRIM
410302,BOA ESPERANCA DO IGUACU
410304,BOA VENTURA DE SAO ROQUE
210197,BOA VISTA DO GURUPI
350690,BOFETE
210200,BOM JARDIM
310750,BOM JARDIM DE MINAS
432377,WESTFALIA
510325,COLNIZA
510617,NOVA NAZARE
510631,NOVO SANTO ANTONIO
510774,SANTA CRUZ DO XINGU
510779,SANTO ANTONIO DO LESTE
510788,SERRA NOVA DOURADA
520485,CAMPO LIMPO DE GOIAS
521225,LAGOA SANTA
280760,UMBAUBA
293135,TEIXEIRA DE FREITAS
500750,ROCHEDO
431213,MATO CASTELHANO
520549,CIDADE OCIDENTAL
220273,COIVARAS
432166,TRES CACHOEIRAS
251280,RIACHO DOS CAVALOS
411620,MORRETES
221110,UNIAO
316430,SAO ROQUE DE MINAS
316240,SAO JOAO DA PONTE
353720,PEDRO DE TOLEDO
280445,NOSSA SENHORA APARECIDA
421020,MAJOR GERCINO
320300,IUNA
431070,ITATIBA DO SUL
320245,IBATIBA
230365,CATUNDA
290160,ANTAS
312440,ESPIRITO SANTO DO DOURADO
210350,COLINAS
270120,CACIMBINHAS
350115,ALUMINIO
293250,UNA
431920,SAO NICOLAU
354460,SABINO
354120,PRESIDENTE BERNARDES
292400,PAULO AFONSO
230920,NOVA OLINDA
311787,CONFINS
311820,CONQUISTA
311850,CONSOLACAO
270220,COQUEIRO SECO
410630,CORBELIA
230400,COREAU
311910,CORINTO
240290,CORONEL JOAO PESSOA
351260,CORONEL MACEDO
311950,CORONEL MURTA
410650,CORONEL VIVIDA
260480,CORTES
351270,CORUMBATAI
110008,COSTA MARQUES
312010,COUTO DE MAGALHAES DE MINAS
430600,CRISSIUMAL
312030,CRISTALIA
312050,CRISTINA
520640,CRIXAS
230423,CROATA
230425,CRUZ
250490,CRUZ DO ESPIRITO SANTO
311570,CENTRAL DE MINAS
410520,CERRO AZUL
430517,CERRO GRANDE DO SUL
260450,CHA GRANDE
170510,CHAPADA DA NATIVIDADE
430540,CHIAPETTA
110092,CHUPINGUAIA
352070,INDIAPORA
431041,INHACORA
352080,INUBIA PAULISTA
352090,IPAUSSU
270730,PORTO CALVO
270740,PORTO DE PEDRAS
354060,PORTO FELIZ
210900,PORTO FRANCO
500690,PORTO MURTINHO
292530,PORTO SEGURO
412030,PORTO VITORIA
521830,POSSE
354080,POTIRENDABA
354100,PRAIA GRANDE
354105,PRATANIA
354110,PRESIDENTE ALVES
292560,PRESIDENTE DUTRA
421400,PRESIDENTE GETULIO
110025,PRESIDENTE MEDICI
210930,PRESIDENTE VARGAS
110147,PRIMAVERA DE RONDONIA
251230,PRINCESA ISABEL
280570,PROPRIA
412070,QUATIGUA
411915,PINHAIS
280520,PINHAO
431450,PINHEIRO MACHADO
353900,PIRANGI
270710,PIRANHAS
230880,MORAUJO
411610,MOREIRA SALES
431242,MORMACO
241105,TIBAU
421795,TIGRINHOS
241430,TIMBAUBA DOS BATISTAS
421825,TIMBO GRANDE
316870,TIMOTEO
172120,TOCANTINOPOLIS
316600,SENHORA DE OLIVEIRA
110150,SERINGUEIRAS
320500,SERRA
316650,SERRA AZUL DE MINAS
251580,SERRA REDONDA
500790,SIDROLANDIA
316730,SILVEIRANIA
316740,SILVIANOPOLIS
316760,SIMONESIA
293077,SOBRADINHO
355210,SOCORRO
251610,SOLEDADE
231300,SOLONOPOLE
510792,SORRISO
293080,SOUTO SOARES
211195,SUCUPIRA DO RIACHAO
221093,SUSSUAPARA
432085,TABAI
355270,TABATINGA
412580,SAO PEDRO DO IVAI
312420,ESPERA FELIZ
170740,ESPERANTINA
280210,ESTANCIA
312450,ESTIVA
312460,ESTRELA DALVA
520750,ESTRELA DO NORTE
312490,EUGENOPOLIS
312080,CRUZILIA
250510,CUITE
260490,CUMARU
351360,CUNHA
312083,CUPARAQUE
150277,CURIONOPOLIS
410700,CURIUVA
150290,CURUCA
520680,DAMOLANDIA
210375,DAVINOPOLIS
520357,BONOPOLIS
130080,BORBA
270110,BRANQUINHA
240180,BREJINHO
350790,BROTAS
310910,BUENO BRANDAO
220202,BURITI DOS MONTES
250180,BAYEUX
310640,BELO VALE
150150,BENEVIDES
130063,BERURI
350680,BOCAINA
520340,BOM JARDIM DE GOIAS
420430,CONCORDIA
260460,CONDADO
430570,CONDOR
250470,CONGO
410610,CONSELHEIRO MAIRINCK
311860,CONTAGEM
311880,CORACAO DE JESUS
351240,CORDEIROPOLIS
500310,CORGUINHO
430590,CORONEL BICACO
420445,CORONEL MARTINS
311960,CORONEL PACHECO
311970,CORONEL XAVIER CHAVES
311995,CORREGO FUNDO
260470,CORRENTES
351280,COSMOPOLIS
351300,COTIA
500330,COXIM
351310,CRAVINHOS
311780,CONCEICAO DOS OUROS
312040,CRISTIANO OTONI
231180,RUSSAS
315690,SACRAMENTO
431643,SALDANHA MARINHO
421530,SALETE
261230,SALOA
330414,QUEIMADOS
510706,QUERENCIA
431535,QUINZE DE NOVEMBRO
261430,MOREILANDIA
260940,MORENO
521380,MORRINHOS
421120,MORRO DA FUMACA
314370,MORRO DO PILAR
353205,MOTUCA
320360,MUCURICI
314380,MUNHOZ
292225,MUQUEM DE SAO FRANCISCO
292230,MURITIBA
292240,MUTUIPE
314437,NATALANDIA
330310,NATIVIDADE
250990,NATUBA
314450,NAZARENO
431267,NICOLAU VERGUEIRO
314465,NINHEIRA
170310,BARROLANDIA
150010,ABAETETUBA
420010,ABELARDO LUZ
210005,ACAILANDIA
120001,ACRELANDIA
240020,ACU
410020,ADRIANOPOLIS
260010,AFOGADOS DA INGAZEIRA
240030,AFONSO BEZERRA
260020,AFRANIO
520005,ABADIA DE GOIAS
220010,AGRICOLANDIA
420020,AGROLANDIA
431695,SANTA MARIA DO HERVAL
431770,SANTO ANTONIO DAS MISSOES
431775,SANTO ANTONIO DO PLANALTO
431950,SAO SEBASTIAO DO CAI
431960,SAO SEPE
432032,SENADOR SALGADO FILHO
432057,SETE DE SETEMBRO
432132,TAQUARUCU DO SUL
432140,TENENTE PORTELA
432185,TRES PALMEIRAS
432310,VICENTE DUTRA
500210,BELA VISTA
500510,JATEI
510170,BARRA DO BUGRES
510250,CACERES
510360,DOM AQUINO
510550,VILA BELA DA SANTISSIMA TRINDADE
510619,NOVA SANTA HELENA
510629,PARANAITA
510685,PORTO ESTRELA
510715,RESERVA DO CABACAL
510724,SANTA CARMEM
510730,SAO JOSE DO RIO CLARO
510840,VARZEA GRANDE
520017,AGUA FRIA DE GOIAS
316820,TAPIRAI
355220,SOROCABA
231280,SENADOR SA
251460,SAO JOSE DO BONFIM
251510,SAO SEBASTIAO DE LAGOA DE ROCA
260030,AGRESTINA
260240,BREJAO
260260,BREJO DA MADRE DE DEUS
260280,BUIQUE
260310,CACHOEIRINHA
260510,CUSTODIA
260680,IGARASSU
260710,INGAZEIRA
260795,JAQUEIRA
261170,RIACHO DAS ALMAS
261340,SAO JOSE DA COROA GRANDE
261500,TAQUARITINGA DO NORTE
261640,VITORIA DE SANTO ANTAO
270170,CAPELA
270200,COITE DO NOIA
270375,JEQUIA DA PRAIA
270530,MINADOR DO NEGRAO
270550,MURICI
270760,QUEBRANGULO
280250,GENERAL MAYNARD
280320,ITAPORANGA D'AJUDA
280380,MALHADA DOS BOIS
280540,POCO REDONDO
290110,AMELIA RODRIGUES
290115,AMERICA DOURADA
290260,BAIXA GRANDE
290320,BARREIRAS
430965,HULHA NEGRA
210500,HUMBERTO DE CAMPOS
312930,IAPU
250660,IBIARA
291230,IBICUI
291240,IBIPEBA
312965,IBIRACATU
291280,IBIRAPUA
291290,IBIRATAIA
351960,IBITINGA
351970,IBIUNA
351780,GUARACAI
666666,ESTRANGEIRO
999999,INVALIDO
240530,JANUARIO CICCO
290330,BARRO PRETO
240615,JUNDIA
330285,MESQUITA
430047,ALMIRANTE TAMANDARE DO SUL
430258,BOZANO
430462,CAPAO BONITO DO SUL
430593,CORONEL PILAR
430843,FORQUETINHA
431087,JACUIZINHO
431217,MATO QUEIMADO
431413,PAULO BENTO
431446,PINHAL DA SERRA
431595,ROLADOR
431697,SANTA MARGARIDA DO SUL
432146,TIO HUGO
140045,PACARAIMA
280490,PACATUBA
521560,PADRE BERNARDO
314640,PAINEIRAS
231000,PALHANO
292265,NORDESTINA
280460,NOSSA SENHORA DAS DORES
280480,NOSSA SENHORA DO SOCORRO
411670,NOVA AURORA
510620,NOVA BRASILANDIA
431300,NOVA BRESCIA
510621,NOVA CANAA DO NORTE
353286,NOVA CASTILHO
411695,NOVA ESPERANCA DO SUDOESTE
411700,NOVA FATIMA
431310,NOVA PALMA
314505,NOVA PORTEIRINHA
314510,NOVA RESENDE
431335,NOVA ROMA DO SUL
431337,NOVA SANTA RITA
411727,NOVA TEBAS
320390,NOVA VENECIA
130320,NOVO AIRAO
353140,MONTE APRAZIVEL
314310,MONTE CARMELO
314315,MONTE FORMOSO
171370,MONTE SANTO DO TOCANTINS
270540,MONTEIROPOLIS
521375,MONTIVIDIU
313890,MACHACALIS
313900,MACHADO
291990,MACURURE
220585,MADEIRO
320530,VITORIA
293330,VITORIA DA CONQUISTA
150835,VITORIA DO XINGU
317210,VOLTA GRANDE
330630,VOLTA REDONDA
293340,WAGNER
412850,WENCESLAU BRAZ
293350,WENCESLAU GUIMARAES
412880,XAMBRE
421950,XANXERE
150840,XINGUARA
251740,ZABELE
293270,URUCUCA
231390,URUOCA
432250,VACARIA
293290,VALENCA
355620,VALINHOS
355635,VARGEM
421917,VARGEM BONITA
211270,VARGEM GRANDE
317065,VARGEM GRANDE DO RIO PARDO
522190,VARJAO
221135,VARZEA BRANCA
330620,VASSOURAS
241475,VENHA-VER
240590,JOAO DIAS
320313,JOAO NEIVA
313640,JOAQUIM FELICIO
431115,JOIA
120032,JORDAO
230730,JUAZEIRO DO NORTE
291845,JUCURUCU
313670,JUIZ DE FORA
352600,JUNQUEIROPOLIS
352620,JUQUITIBA
220553,JUREMA
130220,JURUA
150390,JURUTI
291855,JUSSARI
130240,LABREA
500520,LADARIO
210570,LAGO DA PEDRA
250810,LAGOA
220558,LAGOA DO PIAUI
210596,LAGOA GRANDE DO MARANHAO
240660,LAGOA SALGADA
250830,LAGOA SECA
431130,LAGOA VERMELHA
352630,LAGOINHA
420940,LAGUNA
291880,LAJE
330230,LAJE DO MURIAE
420945,LAJEADO GRANDE
313430,ITUMIRIM
313440,ITURAMA
292140,MIRANGABA
210680,MIRINZAL
314230,MOEDA
250940,MOGEIRO
353060,MOGI DAS CRUZES
353090,MOMBUCA
314260,MONSENHOR PAULO
431235,MONTAURI
314280,MONTE ALEGRE DE MINAS
270440,MAJOR ISIDORO
521270,MAMBAI
411410,MANDAGUACU
313930,MANGA
130270,MANICORE
411450,MANOEL RIBAS
292040,MANOEL VITORINO
320330,MANTENOPOLIS
130280,MARAA
260090,AMARAJI
230075,AMONTADA
280010,AMPARO DE SAO FRANCISCO
350200,ANALANDIA
210080,ANAPURUS
290135,ANDORINHA
350220,ANGATUBA
290140,ANGICAL
290150,ANGUERA
350240,ANHUMAS
220080,ANTONIO ALMEIDA
241480,VERA CRUZ
261610,VERDEJANTE
261618,VERTENTE DO LERIO
211280,VIANA
500840,VICENTINA
432320,VICTOR GRAEFF
317140,VIEIRAS
150820,VIGIA
432330,VILA FLORES
355670,VINHEDO
317200,VISCONDE DO RIO BRANCO
432360,VISTA ALEGRE DO PRATA
150430,MARACANA
260920,MARAIAL
320332,MARATAIZES
230780,MARCO
120035,MARECHAL THAUMATURGO
431198,MARIANA PIMENTEL
320335,MARILANDIA
352900,MARILIA
411530,MARIOPOLIS
250915,MARIZOPOLIS
431205,MARQUES DE SOUZA
230790,MARTINOPOLE
280400,MARUIM
521290,MARZAGAO
220605,MASSAPE DO PIAUI
270500,MATA GRANDE
210640,MATA ROMA
150125,BANNACH
210150,BARAO DE GRAJAU
250153,BARAUNA
150130,BARCARENA
420209,BARRA BONITA
320090,BARRA DE SAO FRANCISCO
290290,BARRA DO CHOCA
430185,BARRA DO GUARITA
330030,BARRA DO PIRAI
330040,BARRA MANSA
220130,BARREIRAS DO PIAUI
350560,BARRINHA
310010,ABADIA DOS DOURADOS
290020,ABARE
170025,ABREULANDIA
220005,ACAUA
520020,AGUA LIMPA
310080,AGUANIL
350060,AGUAS DE SAO PEDRO
420060,AGUAS MORNAS
170030,AGUIARNOPOLIS
260060,ALAGOINHA
250053,ALCANTIL
430030,ALECRIM
310150,ALEM PARAIBA
520030,ALEXANIA
250057,ALGODAO DE JANDAIRA
290090,ALMADINA
310180,ALPERCATA
211107,SAO JOAO DO SOTER
211110,SAO JOAO DOS PATOS
316292,SAO JOAQUIM DE BICAS
412530,SAO JORGE DO IVAI
316294,SAO JOSE DA BARRA
251455,SAO JOSE DE PRINCESA
412440,SANTO ANTONIO DO SUDOESTE
292880,SANTO ESTEVAO
412450,SANTO INACIO
316070,SANTOS DUMONT
316080,SAO BENTO ABADE
430237,BOM PROGRESSO
430240,BOM RETIRO DO SUL
310810,BONFIM
520355,BONFINOPOLIS
500220,BONITO
310825,BONITO DE MINAS
410330,BORRAZOPOLIS
350750,BOTUCATU
420280,BRACO DO NORTE
410335,BRAGANEY
500230,BRASILANDIA
310860,BRASILIA DE MINAS
210210,BREJO
210215,BREJO DE AREIA
280070,BREJO GRANDE
150180,BREVES
350780,BRODOWSKI
150190,BUJARU
350520,BARIRI
310110,AIMORES
290120,ANAGE
230130,ARARIPE
350395,ASPASIA
261530,TIMBAUBA
354910,SAO JOAO DA BOA VISTA
261220,SALGUEIRO
510560,MATUPA
521210,JOVIANIA
150345,IPIXUNA DO PARA
330180,ENGENHEIRO PAULO DE FRONTIN
280150,CARMOPOLIS
290350,BELO CAMPO
210020,ALCANTARA
261460,TABIRA
220690,NOVO ORIENTE DO PIAUI
351620,FRANCA
320225,GOVERNADOR LINDENBERG
520070,ALVORADA (TRANSF. P/TO)
520100,ANANAS (TRANSF. P/TO)
520190,ARAGUACEMA (TRANSF. P/TO)
520210,ARAGUAINA (TRANSF. P/TO)
520230,ARAPOEMA (TRANSF. P/TO)
520270,AURORA DO NORTE (TRANSF. P/TO)
520300,BABACULANDIA (TRANSF. P/TO)
520370,BREJINHO DE NAZARE (TRANSF. P/TO)
313140,IPIACU
291400,IPIRA
431046,IPIRANGA DO SUL
521020,IPORA
510562,MIRASSOL D'OESTE
500540,MARACAJU
291970,MACARANI
352850,MAIRIPORA
250780,JUNCO DO SERIDO
230700,JAGUARUANA
420890,JARAGUA DO SUL
260760,ILHA DE ITAMARACA
291390,IPIAU
291460,IRECE
420640,GUARACIABA
520890,GOIAS
430807,FAZENDA VILANOVA
250530,CURRAL VELHO
220300,CRISTALANDIA DO PIAUI
130130,CODAJAS
410440,CANDIDO DE ABREU
310890,BRAZOPOLIS
250190,BELEM
280060,BARRA DOS COQUEIROS
430005,AGUA SANTA
230090,APUIARES
260120,ARCOVERDE
211167,SAO ROBERTO
314140,MEDINA
431244,MORRINHOS DO SUL
421125,MORRO GRANDE
240800,MOSSORO
150490,MUANA
430064,AMETISTA DO SUL
430105,ARROIO DO SAL
430107,ARROIO DO PADRE
430130,ARROIO GRANDE
430215,BOA VISTA DAS MISSOES
430222,BOA VISTA DO CADEADO
430290,CACEQUI
430320,CACIQUE DOBLE
430500,CATUIPE
430642,DOIS IRMAOS DAS MISSOES
430676,ELDORADO DO SUL
430705,ERNESTINA
500215,BODOQUENA
310350,ARAGUARI
411980,PLANALTO
291760,JAGUAQUARA
311010,CAIANA
510336,CONQUISTA D'OESTE
520040,ALMAS (TRANSF. P/TO)
520200,ARAGUACU (TRANSF. P/TO)
520220,ARAGUATINS (TRANSF. P/TO)
520240,ARRAIAS (TRANSF. P/TO)
520290,AXIXA DE GOIAS (TRANSF. P/TO)
520950,GURUPI (TRANSF. P/TO)
521070,ITAGUATINS (TRANSF. P/TO)
521320,MIRACEMA DO NORTE (TRANSF. P/TO)
521360,MONTE DO CARMO (TRANSF. P/TO)
521430,NAZARE (TRANSF. P/TO)
521610,PARAISO DO NORTE DE GOIAS (TRANSF. P/TO)
521660,PEIXE (TRANSF. P/TO)
431453,PINTO BANDEIRA (EXTINTO)
521790,PONTE ALTA DO NORTE (TRANSF. P/TO)
355360,TAPIRATIBA
355365,TAQUARAL
432135,TAVARES
251670,TEIXEIRA
110155,TEIXEIROPOLIS
241410,TENENTE ANANIAS
293140,TEODORO SAMPAIO
412720,TERRA BOA
412730,TERRA RICA
510810,TESOURO
410570,CLEVELANDIA
220270,COCAL
220272,COCAL DOS ALVES
210340,COELHO NETO
320150,COLATINA
430558,COLINAS
171670,COLMEIA
430560,COLORADO
311680,COLUNA
311700,COMERCINHO
311720,CONCEICAO DAS PEDRAS
120017,CAPIXABA
430471,CARAA
311300,CARAI
311310,CARANAIBA
330093,CARAPEBUS
240230,CARAUBAS
430470,CARAZINHO
330115,CARDOSO MOREIRA
230310,CARIRE
353910,PIRAPORA DO BOM JESUS
353930,PIRASSUNUNGA
353950,PITANGUEIRAS
320420,PIUMA
411970,PLANALTINA DO PARANA
421315,PLANALTO ALEGRE
353980,POA
251200,POCINHOS
251207,POCO DE JOSE DE MOURA
292510,POCOES
292520,POJUCA
240170,BOM JESUS
230205,BARROQUINHA
150090,AUGUSTO CORREA
290240,AURELINO LEAL
230170,AURORA
350440,AVANHANDAVA
220110,AVELINO LOPES
170300,BABACULANDIA
210130,BACURI
430160,BAGE
240140,BAIA FORMOSA
430163,BALNEARIO PINHAL
230185,BANABUIU
310530,BANDEIRA DO SUL
350500,BARAO DE ANTONINA
510160,BARAO DE MELGACO
230190,BARBALHA
240150,BARCELONA
220540,JOAQUIM PIRES
313650,JORDANIA
313655,JOSE RAYDAN
313657,JOSENOPOLIS
250760,JUAREZ TAVORA
250770,JUAZEIRINHO
230740,JUCAS
352580,JULIO MESQUITA
270390,JUNDIA
352610,JUQUIA
250800,JURU
510520,JUSCIMEIRA
220557,LAGOA DE SAO FRANCISCO
260850,LAGOA DE ITAENGA
313750,LAGOA FORMOSA
240650,LAGOA NOVA
431125,LAGOAO
500525,LAGUNA CARAPA
210598,LAJEADO NOVO
313450,ITUTINGA
411155,IVATE
420860,JABORA
240500,JACANA
150375,JACAREACANGA
420870,JACINTO MACHADO
150380,JACUNDA
431100,JAGUARAO
431110,JAGUARI
420880,JAGUARUNA
411210,JANDAIA DO SUL
500290,CASSILANDIA
351120,CATIGUA
250435,CATURITE
510260,CAMPINAPOLIS
420350,CAMPO ERE
430410,CAMPOS BORGES
420360,CAMPOS NOVOS
520430,CACU
220455,GUARIBAS
220480,IPIRANGA DO PIAUI
220559,LAGOA DO SITIO
220640,MONSENHOR GIL
220675,NOSSA SENHORA DE NAZARE
220730,PAES LANDIM
220810,PIMENTEIRAS
220855,PORTO ALEGRE DO PIAUI
220865,QUEIMADA NOVA
220945,SANTO ANTONIO DOS MILAGRES
221065,SIGEFREDO PACHECO
221120,URUCUI
230410,CRATEUS
230445,FORTIM
231030,PARAMBU
231070,PENTECOSTE
231085,PINDORETAMA
231310,TABULEIRO DO NORTE
231325,TARRAFAS
231340,TIANGUA
240160,BENTO FERNANDES
420765,IPORA DO OESTE
420770,IPUMIRIM
431050,IRAI
352160,IRAPURU
230610,IRAUCUBA
420800,ITA
320240,GUARAPARI
351840,GUARATINGUETA
312870,GUAXUPE
312900,GUIRICEMA
170950,GURUPI
430957,HERVEIRAS
130170,HUMAITA
351925,IARAS
430975,IBARAMA
270300,IBATEGUARA
410975,IBEMA
291210,IBICARAI
291250,IBIPITANGA
260670,IBIRAJUBA
351950,IBIRAREMA
291310,IBITITA
420700,ICARA
351980,ICEM
352000,IGARACU DO TIETE
210520,IGARAPE GRANDE
320220,FUNDAO
351650,GABRIEL MONTEIRO
312730,GALILEIA
